budget,popularity,release_date,revenue,runtime,title,vote_average,vote_count,tsne_x,tsne_y
0.003945795703887953,0.014718567628106766,0.8701298701298725,0.010921227149499092,0.15753424657534243,[REC],0.7543859649122806,0.07745617611088462,-16.127167,-12.413407
0.15789340720011663,0.011058941337474482,0.8701298701298725,0.0,0.4931506849315068,In the Name of the King: A Dungeon Siege Tale,0.22807017543859648,0.01818181818181818,-26.731289,13.603573
0.05263008310013121,0.019471401121335913,0.8831168831168839,0.0,0.2191780821917808,One Missed Call,0.3333333333333334,0.013860578883000407,-28.574852,6.8767543
0.13157757617512028,0.01729801512430191,0.8831168831168839,0.04061897709122926,0.2534246575342466,Rambo,0.631578947368421,0.08194048104362006,-9.092228,4.744865
0.03157741828013413,0.01422344607322316,0.8831168831168839,0.020197443024866688,0.29452054794520555,The Eye,0.47368421052631576,0.02282918874847126,-23.030521,4.217389
0.01052475346013704,0.020006540198742984,0.8701298701298725,0.0,0.4383561643835616,Rise of the Footsoldier,0.7017543859649122,0.00619649408887077,-6.0027127,-6.3797746
0.48684129501257106,0.2243261278442686,0.8831168831168839,0.36031959248132434,0.6643835616438356,The Dark Knight,0.9649122807017545,1.0,32.583424,-0.09552194
0.05263008310013121,0.026142728498262137,0.8831168831168839,0.014931116316378749,0.410958904109589,Never Back Down,0.6491228070175439,0.04133713819812474,-8.08639,-5.4546266
0.03157741828013413,0.023055878705494443,0.8831168831168839,0.015600311210066454,0.3561643835616438,Harold & Kumar Escape from Guantanamo Bay,0.5964912280701755,0.04109253974724827,-11.445321,-3.53999
0.36842005540008743,0.0395224265610733,0.8831168831168839,0.20989295193422916,0.48630136986301364,Iron Man,0.8070175438596492,0.7294741133306155,25.671654,-3.2207434
0.48684129501257106,0.022163707865877572,0.8831168831168839,0.28215419076372383,0.45890410958904115,Indiana Jones and the Kingdom of the Crystal Skull,0.5087719298245614,0.2082348145128414,8.619807,14.220801
0.1710513227126148,0.015935711973458448,0.8831168831168839,0.1489447582885029,0.6164383561643836,Sex and the City,0.5614035087719298,0.04247859763554831,-2.7201643,0.45090818
0.3421042243750911,0.03006132342113078,0.8831168831168839,0.226597012618903,0.23972602739726034,Kung Fu Panda,0.7192982456140351,0.26310640032613125,13.90755,9.55461
